dgp,sample_size,design,ATEError,CovariateMSE,NeymanCoverage,NeymanRejects,RI_Coverage_Simple,RI_Rejects_Simple,RI_Rejects_phi0.5,RI_Rejects_phi1.0
QuadraticDGP,1000,Simple,0.0,0.001,0.97,0.68,0.81,0.66,0.84,0.84
QuickBlockDGP,100,BWD(phi=0.5),-0.102,0.004,1.0,0.09,0.91,0.08,0.14,0.25
QuickBlockDGP,100,BWD(phi=1.0),-0.077,0.003,0.99,0.1,0.94,0.08,0.18,0.28
QuickBlockDGP,100,Simple,0.406,0.006,0.99,0.1,0.85,0.1,0.2,0.29
QuickBlockDGP,250,BWD(phi=0.5),-0.118,0.001,0.99,0.08,0.89,0.09,0.36,0.47
QuickBlockDGP,250,BWD(phi=1.0),0.025,0.001,1.0,0.02,0.99,0.02,0.22,0.3
QuickBlockDGP,250,Simple,0.086,0.003,0.97,0.22,0.75,0.2,0.38,0.5
QuickBlockDGP,500,BWD(phi=0.5),0.023,0.0,1.0,0.11,0.97,0.1,0.34,0.41
QuickBlockDGP,500,BWD(phi=1.0),0.069,0.0,1.0,0.05,0.97,0.06,0.27,0.39
QuickBlockDGP,500,Simple,0.128,0.001,0.97,0.26,0.74,0.26,0.54,0.59
QuickBlockDGP,1000,BWD(phi=0.5),0.023,0.0,1.0,0.07,0.99,0.12,0.56,0.59
QuickBlockDGP,1000,BWD(phi=1.0),-0.037,0.0,1.0,0.09,0.99,0.08,0.6,0.68
QuickBlockDGP,1000,Simple,0.171,0.001,0.93,0.28,0.79,0.27,0.58,0.63
SinusoidalDGP,100,BWD(phi=0.5),-0.008,0.005,0.98,0.21,0.83,0.2,0.23,0.35
SinusoidalDGP,100,BWD(phi=1.0),0.023,0.003,0.99,0.13,0.91,0.15,0.19,0.25
SinusoidalDGP,100,Simple,-0.017,0.007,0.93,0.25,0.79,0.24,0.33,0.41
SinusoidalDGP,250,BWD(phi=0.5),-0.013,0.001,1.0,0.25,0.89,0.26,0.51,0.6
SinusoidalDGP,250,BWD(phi=1.0),0.005,0.001,1.0,0.15,0.98,0.17,0.33,0.48
SinusoidalDGP,250,Simple,-0.011,0.004,0.92,0.42,0.78,0.42,0.56,0.67
SinusoidalDGP,500,BWD(phi=0.5),0.005,0.0,1.0,0.28,0.93,0.27,0.61,0.69
SinusoidalDGP,500,BWD(phi=1.0),-0.002,0.0,1.0,0.32,0.97,0.32,0.74,0.79
SinusoidalDGP,500,Simple,0.004,0.002,0.9,0.36,0.75,0.33,0.65,0.75
SinusoidalDGP,1000,BWD(phi=0.5),0.006,0.0,1.0,0.56,1.0,0.55,0.91,0.94
SinusoidalDGP,1000,BWD(phi=1.0),-0.002,0.0,1.0,0.62,1.0,0.6,0.98,1.0
SinusoidalDGP,1000,Simple,-0.017,0.001,0.96,0.72,0.84,0.7,0.85,0.88
